Diameter Average-Path-Length nodes initial rewiring
10 -1 0 1 0.555
11 -1 0 1 0.556
10 -1 0 1 0.557
11 -1 0 1 0.558
9 -1 0 1 0.559
10 -1 0 1 0.56
11 -1 0 1 0.561
10 -1 0 1 0.562
10 -1 0 1 0.5630000000000001
10 -1 0 1 0.5640000000000001
10 -1 0 1 0.5650000000000001
10 -1 0 1 0.5660000000000001
10 -1 0 1 0.5670000000000001
9 -1 0 1 0.5680000000000001
12 -1 0 1 0.5690000000000001
10 -1 0 1 0.5700000000000001
9 -1 0 1 0.5710000000000001
9 -1 0 1 0.5720000000000001
11 -1 0 1 0.5730000000000001
11 -1 0 1 0.5740000000000001
10 -1 0 1 0.5750000000000001
11 -1 0 1 0.5760000000000001
10 -1 0 1 0.577
12 -1 0 1 0.578
11 -1 0 1 0.579
11 -1 0 1 0.58
14 -1 0 1 0.581
10 -1 0 1 0.582
12 -1 0 1 0.583
10 -1 0 1 0.584
9 -1 0 1 0.585
13 -1 0 1 0.586
10 -1 0 1 0.587
12 -1 0 1 0.588
9 -1 0 1 0.589
9 -1 0 1 0.59
9 -1 0 1 0.591
11 -1 0 1 0.592
9 -1 0 1 0.593
11 -1 0 1 0.594
12 -1 0 1 0.595
12 -1 0 1 0.596
11 -1 0 1 0.597
11 -1 0 1 0.598
13 -1 0 1 0.599
11 -1 0 1 0.6
12 -1 0 1 0.601
10 -1 0 1 0.602
10 -1 0 1 0.603
12 -1 0 1 0.604
11 -1 0 1 0.605
11 -1 0 1 0.606
10 -1 0 1 0.607
12 -1 0 1 0.608
11 -1 0 1 0.609
11 -1 0 1 0.61
12 -1 0 1 0.611
10 -1 0 1 0.612
11 -1 0 1 0.613
9 -1 0 1 0.614
9 -1 0 1 0.615
13 -1 0 1 0.616
10 -1 0 1 0.617
12 -1 0 1 0.618
10 -1 0 1 0.619
10 -1 0 1 0.62
11 -1 0 1 0.621
11 -1 0 1 0.622
11 -1 0 1 0.623
11 -1 0 1 0.624
10 -1 0 1 0.625
10 -1 0 1 0.626
10 -1 0 1 0.627
14 -1 0 1 0.628
9 -1 0 1 0.629
12 -1 0 1 0.63
14 -1 0 1 0.631
13 -1 0 1 0.632
11 -1 0 1 0.633
10 -1 0 1 0.634
11 -1 0 1 0.635
10 -1 0 1 0.636
10 -1 0 1 0.637
11 -1 0 1 0.638
10 -1 0 1 0.639
10 -1 0 1 0.64
9 -1 0 1 0.641
10 -1 0 1 0.642
11 -1 0 1 0.643
11 -1 0 1 0.644
11 -1 0 1 0.645
12 -1 0 1 0.646
10 -1 0 1 0.647
9 -1 0 1 0.648
9 -1 0 1 0.649
9 -1 0 1 0.65
9 -1 0 1 0.651
10 -1 0 1 0.652
14 -1 0 1 0.653
10 -1 0 1 0.654
12 -1 0 1 0.655
10 -1 0 1 0.656
13 -1 0 1 0.657
10 -1 0 1 0.658
11 -1 0 1 0.659
11 -1 0 1 0.66
10 -1 0 1 0.661
10 -1 0 1 0.662
11 -1 0 1 0.663
10 -1 0 1 0.664
9 -1 0 1 0.665
10 -1 0 1 0.666
9 -1 0 1 0.667
10 -1 0 1 0.668
9 -1 0 1 0.669
10 -1 0 1 0.67
10 -1 0 1 0.671
12 -1 0 1 0.672
10 -1 0 1 0.673
10 -1 0 1 0.674
11 -1 0 1 0.675
10 -1 0 1 0.676
11 -1 0 1 0.677
12 -1 0 1 0.678
10 -1 0 1 0.679
11 -1 0 1 0.68
10 -1 0 1 0.681
10 -1 0 1 0.682
11 -1 0 1 0.683
8 -1 0 1 0.684
9 -1 0 1 0.685
13 -1 0 1 0.686
11 -1 0 1 0.687
11 -1 0 1 0.6880000000000001
12 -1 0 1 0.6890000000000001
12 -1 0 1 0.6900000000000001
10 -1 0 1 0.6910000000000001
11 -1 0 1 0.6920000000000001
10 -1 0 1 0.6930000000000001
9 -1 0 1 0.6940000000000001
10 -1 0 1 0.6950000000000001
10 -1 0 1 0.6960000000000001
11 -1 0 1 0.6970000000000001
11 -1 0 1 0.6980000000000001
10 -1 0 1 0.6990000000000001
10 -1 0 1 0.7000000000000001
10 -1 0 1 0.7010000000000001
10 -1 0 1 0.7020000000000001
9 -1 0 1 0.7030000000000001
10 -1 0 1 0.704
9 -1 0 1 0.705
10 -1 0 1 0.706
9 -1 0 1 0.707
10 -1 0 1 0.708
10 -1 0 1 0.709
11 -1 0 1 0.71
10 -1 0 1 0.711
12 -1 0 1 0.712
10 -1 0 1 0.713
10 -1 0 1 0.714
13 -1 0 1 0.715
9 -1 0 1 0.716
12 -1 0 1 0.717
12 -1 0 1 0.718
10 -1 0 1 0.719
9 -1 0 1 0.72
10 -1 0 1 0.721
9 -1 0 1 0.722
9 -1 0 1 0.723
10 -1 0 1 0.724
10 -1 0 1 0.725
11 -1 0 1 0.726
9 -1 0 1 0.727
10 -1 0 1 0.728
12 -1 0 1 0.729
9 -1 0 1 0.73
11 -1 0 1 0.731
10 -1 0 1 0.732
11 -1 0 1 0.733
10 -1 0 1 0.734
10 -1 0 1 0.735
8 -1 0 1 0.736
11 -1 0 1 0.737
10 -1 0 1 0.738
10 -1 0 1 0.739
11 -1 0 1 0.74
10 -1 0 1 0.741
12 -1 0 1 0.742
8 -1 0 1 0.743
11 -1 0 1 0.744
11 -1 0 1 0.745
10 -1 0 1 0.746
11 -1 0 1 0.747
10 -1 0 1 0.748
9 -1 0 1 0.749
10 -1 0 1 0.75
10 -1 0 1 0.751
9 -1 0 1 0.752
9 -1 0 1 0.753
10 -1 0 1 0.754
8 -1 0 1 0.755
13 -1 0 1 0.756
9 -1 0 1 0.757
11 -1 0 1 0.758
11 -1 0 1 0.759
11 -1 0 1 0.76
12 -1 0 1 0.761
10 -1 0 1 0.762
10 -1 0 1 0.763
10 -1 0 1 0.764
9 -1 0 1 0.765
9 -1 0 1 0.766
11 -1 0 1 0.767
10 -1 0 1 0.768
10 -1 0 1 0.769
10 -1 0 1 0.77
10 -1 0 1 0.771
11 -1 0 1 0.772
12 -1 0 1 0.773
10 -1 0 1 0.774
11 -1 0 1 0.775
10 -1 0 1 0.776
12 -1 0 1 0.777
11 -1 0 1 0.778
10 -1 0 1 0.779
10 -1 0 1 0.78
13 -1 0 1 0.781
10 -1 0 1 0.782
12 -1 0 1 0.783
9 -1 0 1 0.784
9 -1 0 1 0.785
10 -1 0 1 0.786
9 -1 0 1 0.787
9 -1 0 1 0.788
11 -1 0 1 0.789
8 -1 0 1 0.79
10 -1 0 1 0.791
10 -1 0 1 0.792
10 -1 0 1 0.793
11 -1 0 1 0.794
10 -1 0 1 0.795
9 -1 0 1 0.796
10 -1 0 1 0.797
10 -1 0 1 0.798
11 -1 0 1 0.799
9 -1 0 1 0.8
10 -1 0 1 0.801
11 -1 0 1 0.802
10 -1 0 1 0.803
9 -1 0 1 0.804
11 -1 0 1 0.805
10 -1 0 1 0.806
10 -1 0 1 0.807
10 -1 0 1 0.808
9 -1 0 1 0.809
10 -1 0 1 0.81
12 -1 0 1 0.811
11 -1 0 1 0.812
11 -1 0 1 0.8130000000000001
10 -1 0 1 0.8140000000000001
10 -1 0 1 0.8150000000000001
10 -1 0 1 0.8160000000000001
9 -1 0 1 0.8170000000000001
9 -1 0 1 0.8180000000000001
11 -1 0 1 0.8190000000000001
11 -1 0 1 0.8200000000000001
11 -1 0 1 0.8210000000000001
10 -1 0 1 0.8220000000000001
11 -1 0 1 0.8230000000000001
12 -1 0 1 0.8240000000000001
9 -1 0 1 0.8250000000000001
10 -1 0 1 0.8260000000000001
9 -1 0 1 0.8270000000000001
10 -1 0 1 0.8280000000000001
11 -1 0 1 0.8290000000000001
9 -1 0 1 0.8300000000000001
10 -1 0 1 0.8310000000000001
10 -1 0 1 0.8320000000000001
9 -1 0 1 0.833
10 -1 0 1 0.834
10 -1 0 1 0.835
10 -1 0 1 0.836
10 -1 0 1 0.837
10 -1 0 1 0.838
11 -1 0 1 0.839
9 -1 0 1 0.84
10 -1 0 1 0.841
9 -1 0 1 0.842
10 -1 0 1 0.843
12 -1 0 1 0.844
12 -1 0 1 0.845
10 -1 0 1 0.846
10 -1 0 1 0.847
10 -1 0 1 0.848
11 -1 0 1 0.849
11 -1 0 1 0.85
9 -1 0 1 0.851
10 -1 0 1 0.852
12 -1 0 1 0.853
10 -1 0 1 0.854
9 -1 0 1 0.855
9 -1 0 1 0.856
10 -1 0 1 0.857
9 -1 0 1 0.858
9 -1 0 1 0.859
11 -1 0 1 0.86
10 -1 0 1 0.861
9 -1 0 1 0.862
11 -1 0 1 0.863
11 -1 0 1 0.864
10 -1 0 1 0.865
9 -1 0 1 0.866
9 -1 0 1 0.867
12 -1 0 1 0.868
15 -1 0 1 0.869
9 -1 0 1 0.87
12 -1 0 1 0.871
9 -1 0 1 0.872
12 -1 0 1 0.873
9 -1 0 1 0.874
10 -1 0 1 0.875
9 -1 0 1 0.876
10 -1 0 1 0.877
12 -1 0 1 0.878
11 -1 0 1 0.879
9 -1 0 1 0.88
11 -1 0 1 0.881
11 -1 0 1 0.882
10 -1 0 1 0.883
11 -1 0 1 0.884
10 -1 0 1 0.885
10 -1 0 1 0.886
9 -1 0 1 0.887
10 -1 0 1 0.888
11 -1 0 1 0.889
10 -1 0 1 0.89
11 -1 0 1 0.891
10 -1 0 1 0.892
11 -1 0 1 0.893
10 -1 0 1 0.894
11 -1 0 1 0.895
11 -1 0 1 0.896
11 -1 0 1 0.897
13 -1 0 1 0.898
11 -1 0 1 0.899
11 -1 0 1 0.9
13 -1 0 1 0.901
11 -1 0 1 0.902
10 -1 0 1 0.903
9 -1 0 1 0.904
10 -1 0 1 0.905
10 -1 0 1 0.906
12 -1 0 1 0.907
9 -1 0 1 0.908
10 -1 0 1 0.909
9 -1 0 1 0.91
11 -1 0 1 0.911
11 -1 0 1 0.912
14 -1 0 1 0.913
10 -1 0 1 0.914
10 -1 0 1 0.915
10 -1 0 1 0.916
10 -1 0 1 0.917
11 -1 0 1 0.918
9 -1 0 1 0.919
9 -1 0 1 0.92
11 -1 0 1 0.921
11 -1 0 1 0.922
10 -1 0 1 0.923
11 -1 0 1 0.924
9 -1 0 1 0.925
9 -1 0 1 0.926
10 -1 0 1 0.927
9 -1 0 1 0.928
13 -1 0 1 0.929
11 -1 0 1 0.93
12 -1 0 1 0.931
10 -1 0 1 0.932
10 -1 0 1 0.933
9 -1 0 1 0.934
10 -1 0 1 0.935
9 -1 0 1 0.936
11 -1 0 1 0.937
9 -1 0 1 0.9380000000000001
10 -1 0 1 0.9390000000000001
10 -1 0 1 0.9400000000000001
10 -1 0 1 0.9410000000000001
10 -1 0 1 0.9420000000000001
10 -1 0 1 0.9430000000000001
9 -1 0 1 0.9440000000000001
10 -1 0 1 0.9450000000000001
9 -1 0 1 0.9460000000000001
11 -1 0 1 0.9470000000000001
10 -1 0 1 0.9480000000000001
10 -1 0 1 0.9490000000000001
10 -1 0 1 0.9500000000000001
12 -1 0 1 0.9510000000000001
12 -1 0 1 0.9520000000000001
10 -1 0 1 0.9530000000000001
13 -1 0 1 0.9540000000000001
9 -1 0 1 0.9550000000000001
11 -1 0 1 0.9560000000000001
11 -1 0 1 0.9570000000000001
10 -1 0 1 0.9580000000000001
12 -1 0 1 0.9590000000000001
11 -1 0 1 0.96
10 -1 0 1 0.961
11 -1 0 1 0.962
14 -1 0 1 0.963
10 -1 0 1 0.964
10 -1 0 1 0.965
10 -1 0 1 0.966
12 -1 0 1 0.967
11 -1 0 1 0.968
11 -1 0 1 0.969
10 -1 0 1 0.97
9 -1 0 1 0.971
11 -1 0 1 0.972
11 -1 0 1 0.973
9 -1 0 1 0.974
10 -1 0 1 0.975
11 -1 0 1 0.976
11 -1 0 1 0.977
10 -1 0 1 0.978
11 -1 0 1 0.979
14 -1 0 1 0.98
11 -1 0 1 0.981
10 -1 0 1 0.982
12 -1 0 1 0.983
11 -1 0 1 0.984
10 -1 0 1 0.985
10 -1 0 1 0.986
11 -1 0 1 0.987
10 -1 0 1 0.988
11 -1 0 1 0.989
10 -1 0 1 0.99
12 -1 0 1 0.991
12 -1 0 1 0.992
13 -1 0 1 0.993
10 -1 0 1 0.994
9 -1 0 1 0.995
11 -1 0 1 0.996
10 -1 0 1 0.997
9 -1 0 1 0.998
10 -1 0 1 0.999
