Diameter Average-Path-Length nodes initial links
14 6.444496899883549 357 2 1
12 5.579143389199255 358 2 1
14 6.33233220771541 359 2 1
12 6.034401114206128 360 2 1
13 5.877346875961835 361 2 1
12 5.600250990955143 362 2 1
12 6.049678096890553 363 2 1
13 5.8160627251536345 364 2 1
13 6.148457022429625 365 2 1
13 5.2181600419193055 366 2 1
12 6.4031208588317625 367 2 1
15 7.205233384670063 368 2 1
11 5.619889242370685 369 2 1
11 5.674401230498791 370 2 1
15 6.929554891819043 371 2 1
13 5.939222676289019 372 2 1
12 5.9902274496238 373 2 1
15 6.229989534200227 374 2 1
13 6.458780748663101 375 2 1
11 5.733872340425532 376 2 1
11 5.268666403295897 377 2 1
12 5.624507038300142 378 2 1
14 6.067875640435007 379 2 1
12 5.48794611859464 380 2 1
13 5.743030805359856 381 2 1
11 5.254991686248643 382 2 1
14 6.33568001312318 383 2 1
13 6.053035248041775 384 2 1
15 5.674945887445888 385 2 1
14 6.181495188749075 386 2 1
14 7.061734345503474 387 2 1
12 5.790977383521138 388 2 1
14 6.692656295550314 389 2 1
11 5.713295102498187 390 2 1
11 5.67258180864319 391 2 1
15 6.798619447779112 392 2 1
15 7.1227865191878275 393 2 1
11 5.89155397114478 394 2 1
14 6.734511341001093 395 2 1
10 5.258381281166091 396 2 1
12 5.717044500419815 397 2 1
14 6.526676202169538 398 2 1
13 6.083626150804146 399 2 1
14 6.4638471177944865 400 2 1
11 5.67426433915212 401 2 1
14 6.453195369784494 402 2 1
15 6.681505623248522 403 2 1
15 6.089882809620913 404 2 1
13 5.720303141425253 405 2 1
14 6.5181414583713435 406 2 1
13 6.2893937376696 407 2 1
14 6.011598496892614 408 2 1
13 6.038832158780383 409 2 1
14 6.249460313674041 410 2 1
15 6.647130734081063 411 2 1
12 6.1791510169371415 412 2 1
12 6.314511389548414 413 2 1
10 5.836719654700495 414 2 1
12 5.6 415 2 1
12 5.6103915662650605 416 2 1
12 6.215343110127283 417 2 1
10 5.169047537089945 418 2 1
12 5.9105868381085065 419 2 1
16 6.663859529491988 420 2 1
13 5.798077140594955 421 2 1
13 5.898920421924778 422 2 1
13 6.239073196419168 423 2 1
13 5.998996386993175 424 2 1
14 6.267147613762486 425 2 1
12 5.91863021264844 426 2 1
15 6.1512902551923565 427 2 1
14 6.553098119897569 428 2 1
14 5.7813432673245755 429 2 1
16 6.573274787228276 430 2 1
14 5.9892300221227 431 2 1
13 6.012535447280227 432 2 1
14 6.339534684800274 433 2 1
13 6.260288843243473 434 2 1
16 6.922485301128238 435 2 1
11 5.733755140778235 436 2 1
13 6.319883274200659 437 2 1
14 6.257808010198217 438 2 1
14 6.0935709010723835 439 2 1
13 5.968161109960654 440 2 1
13 6.3203669346526485 441 2 1
13 6.304963010845364 442 2 1
14 5.982186449853426 443 2 1
12 5.693388648241921 444 2 1
12 5.969652798866282 445 2 1
18 6.578616415579181 446 2 1
15 6.505673097180004 447 2 1
14 6.512663790348354 448 2 1
12 5.90228285077951 449 2 1
14 6.198841870824054 450 2 1
13 6.093638827297364 451 2 1
11 5.790632419598532 452 2 1
13 5.956553165719198 453 2 1
14 6.6490844200678785 454 2 1
12 5.62954930532023 455 2 1
13 6.314594177752072 456 2 1
14 6.9901531728665205 457 2 1
13 6.7025885545564865 458 2 1
16 7.359496151687264 459 2 1
13 5.859533958510941 460 2 1
13 6.229482222012638 461 2 1
15 7.127916913166371 462 2 1
11 5.626209643488261 463 2 1
12 5.586448946153273 464 2 1
12 6.466221727845754 465 2 1
14 6.296146568831049 466 2 1
14 6.992215860528807 467 2 1
16 6.963130730796684 468 2 1
11 5.443405682211653 469 2 1
15 6.448995145851291 470 2 1
13 5.707223200975742 471 2 1
13 6.040132786354313 472 2 1
13 5.7209481492098755 473 2 1
17 7.326830269132301 474 2 1
14 6.313142349544748 475 2 1
12 6.098045112781955 476 2 1
11 5.728009442770819 477 2 1
12 6.076401498206187 478 2 1
14 6.323442317939222 479 2 1
14 6.684298886569241 480 2 1
12 5.4334026334026335 481 2 1
13 5.830048049965062 482 2 1
14 6.260783656778606 483 2 1
12 5.553094468114231 484 2 1
12 5.940325466473545 485 2 1
12 5.872928598701795 486 2 1
15 6.930311557279388 487 2 1
13 5.608652842764331 488 2 1
12 5.6825069563176775 489 2 1
14 6.736179625224323 490 2 1
15 6.309273037117087 491 2 1
13 5.8874952395145135 492 2 1
11 5.8554560596315905 493 2 1
10 5.22649892010413 494 2 1
12 5.981302907618697 495 2 1
13 6.23619257086999 496 2 1
12 5.955961575907056 497 2 1
13 6.363296243323394 498 2 1
16 6.962084812194671 499 2 1
13 6.084008016032064 500 2 1
14 6.132758483033932 501 2 1
15 6.818673410151808 502 2 1
11 5.606615288349584 503 2 1
16 7.254851841332955 504 2 1
13 6.346251768033946 505 2 1
14 6.7541110632802415 506 2 1
12 5.916083916083916 507 2 1
14 6.041357995930982 508 2 1
14 6.05039988861903 509 2 1
14 6.878808890943411 510 2 1
14 6.875791412455393 511 2 1
12 6.277359038649706 512 2 1
15 6.011695906432749 513 2 1
15 7.526755713321349 514 2 1
13 6.4591439688715955 515 2 1
13 6.693045834274103 516 2 1
16 6.589177274976384 517 2 1
13 6.182258799280076 518 2 1
12 5.973173834445511 519 2 1
16 7.198132503334816 520 2 1
11 5.640528569319356 521 2 1
17 6.7074297144454 522 2 1
12 6.139220383434797 523 2 1
14 6.883503860581204 524 2 1
