Diameter Average-Path-Length probability nodes
2 1.5134615384615384 0.47 65
2 1.5170163170163171 0.47 66
2 1.5192220714608775 0.47 67
2 1.5245829675153644 0.47 68
2 1.5375106564364875 0.47 69
2 1.5283643892339545 0.47 70
2 1.5303822937625755 0.47 71
2 1.547339593114241 0.47 72
2 1.5235920852359208 0.47 73
2 1.525360977415772 0.47 74
2 1.536936936936937 0.47 75
2 1.5242105263157895 0.47 76
2 1.534518113465482 0.47 77
2 1.5394605394605394 0.47 78
2 1.5316455696202531 0.47 79
2 1.5231012658227847 0.47 80
2 1.520679012345679 0.47 81
2 1.5251430292080699 0.47 82
2 1.528651190126359 0.47 83
2 1.53184165232358 0.47 84
2 1.5201680672268907 0.47 85
2 1.5258549931600547 0.47 86
2 1.5362202619620422 0.47 87
2 1.5347439916405434 0.47 88
2 1.52170582226762 0.47 89
2 1.535330836454432 0.47 90
2 1.523076923076923 0.47 91
2 1.529622551361682 0.47 92
2 1.53903693314633 0.47 93
2 1.5170441546556852 0.47 94
2 1.5238521836506158 0.47 95
2 1.537061403508772 0.47 96
2 1.5266323024054982 0.47 97
2 1.533978539869556 0.47 98
2 1.5370026798598226 0.47 99
2 1.5325252525252526 0.47 100
2 1.538019801980198 0.47 101
2 1.529994175888177 0.47 102
2 1.5345516847515706 0.47 103
2 1.5362210604929052 0.47 104
2 1.5507326007326008 0.47 105
2 1.5297394429469902 0.47 106
2 1.5279492153059424 0.47 107
2 1.5330564209068882 0.47 108
2 1.5161399932042134 0.47 109
2 1.5272727272727273 0.47 110
2 1.5285831285831286 0.47 111
2 1.5307271557271558 0.47 112
2 1.5235461441213654 0.47 113
2 1.5264710448688092 0.47 114
2 1.5279938977879481 0.47 115
2 1.5425787106446776 0.47 116
2 1.538756262894194 0.47 117
2 1.5249891351586267 0.47 118
2 1.530836063238855 0.47 119
2 1.5284313725490195 0.47 120
2 1.5256198347107437 0.47 121
2 1.5294675518222463 0.47 122
2 1.5344528855124617 0.47 123
2 1.525439286650931 0.47 124
2 1.5366451612903225 0.47 125
2 1.5246984126984127 0.47 126
2 1.5394325709286338 0.47 127
2 1.5382627952755905 0.47 128
2 1.5270106589147288 0.47 129
2 1.5321407274895646 0.47 130
2 1.5280093951849678 0.47 131
2 1.5303030303030303 0.47 132
2 1.521075415812258 0.47 133
2 1.5276624396812928 0.47 134
2 1.5303482587064676 0.47 135
2 1.5237472766884532 0.47 136
2 1.525762129669386 0.47 137
2 1.5281921083253993 0.47 138
2 1.526848086747993 0.47 139
2 1.528365878725591 0.47 140
2 1.5222897669706181 0.47 141
2 1.5297173109579463 0.47 142
2 1.5349157884369151 0.47 143
2 1.5343822843822843 0.47 144
2 1.5235632183908046 0.47 145
2 1.5287671232876712 0.47 146
2 1.5286552977355325 0.47 147
2 1.5257400257400258 0.47 148
2 1.5357337202974788 0.47 149
2 1.5254586129753915 0.47 150
2 1.5262693156732892 0.47 151
2 1.528842802370164 0.47 152
2 1.523735810113519 0.47 153
2 1.527968763262881 0.47 154
2 1.53841642228739 0.47 155
2 1.5296112489660876 0.47 156
2 1.5324187489792584 0.47 157
2 1.527291784245747 0.47 158
2 1.5236048085343523 0.47 159
2 1.530188679245283 0.47 160
2 1.531366459627329 0.47 161
2 1.5340081282110267 0.47 162
2 1.5272286601529956 0.47 163
2 1.5204997755499028 0.47 164
2 1.5314855875831486 0.47 165
2 1.5334793720335889 0.47 166
2 1.5301204819277108 0.47 167
2 1.5265896777872825 0.47 168
2 1.531135531135531 0.47 169
2 1.5287156282631396 0.47 170
2 1.5213622291021671 0.47 171
2 1.5335237318101456 0.47 172
2 1.532195187525205 0.47 173
2 1.534449538236662 0.47 174
2 1.5282101806239736 0.47 175
2 1.5292857142857144 0.47 176
2 1.528120184899846 0.47 177
2 1.5288516473052751 0.47 178
2 1.5341158747096855 0.47 179
2 1.530788330229671 0.47 180
2 1.5282995702885205 0.47 181
2 1.5323295489041346 0.47 182
2 1.5275926259532817 0.47 183
2 1.5334996436208126 0.47 184
2 1.5311985898942422 0.47 185
2 1.5301365882011044 0.47 186
2 1.5284917486056007 0.47 187
2 1.5290704289452726 0.47 188
2 1.5302825621974558 0.47 189
2 1.5273739905318853 0.47 190
2 1.525874896665748 0.47 191
2 1.5346313263525306 0.47 192
