NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones
181 119 0 130 0.3 0.3 0 31
189 111 0 135 0.3 0.3 0 31
211 89 0 140 0.3 0.3 0 31
195 105 0 145 0.3 0.3 0 31
300 0 0 0 0.3 0.3 0 36
189 111 0 5 0.3 0.3 0 36
168 132 0 10 0.3 0.3 0 36
199 101 0 15 0.3 0.3 0 36
176 124 0 20 0.3 0.3 0 36
172 128 0 25 0.3 0.3 0 36
176 124 0 30 0.3 0.3 0 36
186 114 0 35 0.3 0.3 0 36
185 115 0 40 0.3 0.3 0 36
179 121 0 45 0.3 0.3 0 36
168 132 0 50 0.3 0.3 0 36
199 101 0 55 0.3 0.3 0 36
169 131 0 60 0.3 0.3 0 36
184 116 0 65 0.3 0.3 0 36
169 131 0 70 0.3 0.3 0 36
182 118 0 75 0.3 0.3 0 36
193 107 0 80 0.3 0.3 0 36
198 102 0 85 0.3 0.3 0 36
199 101 0 90 0.3 0.3 0 36
194 106 0 95 0.3 0.3 0 36
176 124 0 100 0.3 0.3 0 36
191 109 0 105 0.3 0.3 0 36
186 114 0 110 0.3 0.3 0 36
204 96 0 115 0.3 0.3 0 36
187 113 0 120 0.3 0.3 0 36
164 136 0 125 0.3 0.3 0 36
169 131 0 130 0.3 0.3 0 36
193 107 0 135 0.3 0.3 0 36
200 100 0 140 0.3 0.3 0 36
178 122 0 145 0.3 0.3 0 36
300 0 0 0 0.3 0.3 0 41
167 133 0 5 0.3 0.3 0 41
184 116 0 10 0.3 0.3 0 41
185 115 0 15 0.3 0.3 0 41
194 106 0 20 0.3 0.3 0 41
185 115 0 25 0.3 0.3 0 41
190 110 0 30 0.3 0.3 0 41
176 124 0 35 0.3 0.3 0 41
182 118 0 40 0.3 0.3 0 41
173 127 0 45 0.3 0.3 0 41
154 146 0 50 0.3 0.3 0 41
183 117 0 55 0.3 0.3 0 41
205 95 0 60 0.3 0.3 0 41
205 95 0 65 0.3 0.3 0 41
184 116 0 70 0.3 0.3 0 41
175 125 0 75 0.3 0.3 0 41
188 112 0 80 0.3 0.3 0 41
206 94 0 85 0.3 0.3 0 41
173 127 0 90 0.3 0.3 0 41
189 111 0 95 0.3 0.3 0 41
166 134 0 100 0.3 0.3 0 41
163 137 0 105 0.3 0.3 0 41
186 114 0 110 0.3 0.3 0 41
189 111 0 115 0.3 0.3 0 41
196 104 0 120 0.3 0.3 0 41
184 116 0 125 0.3 0.3 0 41
193 107 0 130 0.3 0.3 0 41
174 126 0 135 0.3 0.3 0 41
184 116 0 140 0.3 0.3 0 41
181 119 0 145 0.3 0.3 0 41
300 0 0 0 0.3 0.3 0 46
158 142 0 5 0.3 0.3 0 46
210 90 0 10 0.3 0.3 0 46
212 88 0 15 0.3 0.3 0 46
169 131 0 20 0.3 0.3 0 46
199 101 0 25 0.3 0.3 0 46
171 129 0 30 0.3 0.3 0 46
170 130 0 35 0.3 0.3 0 46
180 120 0 40 0.3 0.3 0 46
182 118 0 45 0.3 0.3 0 46
197 103 0 50 0.3 0.3 0 46
190 110 0 55 0.3 0.3 0 46
184 116 0 60 0.3 0.3 0 46
180 120 0 65 0.3 0.3 0 46
179 121 0 70 0.3 0.3 0 46
173 127 0 75 0.3 0.3 0 46
188 112 0 80 0.3 0.3 0 46
188 112 0 85 0.3 0.3 0 46
175 125 0 90 0.3 0.3 0 46
188 112 0 95 0.3 0.3 0 46
188 112 0 100 0.3 0.3 0 46
208 92 0 105 0.3 0.3 0 46
209 91 0 110 0.3 0.3 0 46
193 107 0 115 0.3 0.3 0 46
170 130 0 120 0.3 0.3 0 46
191 109 0 125 0.3 0.3 0 46
193 107 0 130 0.3 0.3 0 46
181 119 0 135 0.3 0.3 0 46
194 106 0 140 0.3 0.3 0 46
182 118 0 145 0.3 0.3 0 46
300 0 0 0 0.3 0.3 0 51
